trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
152,False,"{'a': 0.8, 'e': 0.2170448966728076}",20,13,11.55617947721136,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.8, 'e': 0.21487444770607952}",20,12,8.009916577045129,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.8, 'e': 0.21272570322901874}",25,11,29.191045695691596,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8, 'e': 0.21059844619672854}",20,7,27.635743765307677,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.8, 'e': 0.20849246173476127}",20,12,8.208286472845103,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.8, 'e': 0.20640753711741366}",20,3,25.333987118335013,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.8, 'e': 0.20434346174623952}",20,15,0.40601237071655394,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.8, 'e': 0.20230002712877712}",20,2,27.141434883957213,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.8, 'e': 0.20027702685748935}",25,12,7.966077753126957,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.8, 'e': 0.19827425658891445}",20,0,24.76749161318682,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.8, 'e': 0.1962915140230253}",25,15,22.179750783835587,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.8, 'e': 0.19432859888279505}",35,16,7.695724034562633,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.8, 'e': 0.1923853128939671}",20,4,21.762299439552322,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.8, 'e': 0.19046145976502743}",35,9,41.46020925822344,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8, 'e': 0.18855684516737714}",30,12,28.119332740414514,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.8, 'e': 0.18667127671570335}",20,7,14.547383109335565,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.8, 'e': 0.18480456394854633}",25,2,39.47146598353808,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8, 'e': 0.18295651830906087}",20,0,20.1238459474352,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.8, 'e': 0.18112695312597027}",25,14,16.722688575567126,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.8, 'e': 0.17931568359471056}",35,14,10.473841960068865,"{0: 17, 1: 4, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.8, 'e': 0.17752252675876345}",25,15,22.676352283566676,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.8, 'e': 0.17574730149117582}",20,16,5.922543304415244,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8, 'e': 0.17398982847626407}",25,8,15.974896147855446,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 0.17224993019150142}",20,16,5.442841151271343,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.8, 'e': 0.1705274308895864}",20,2,-2.549304446481969,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 0.16882215658069055}",30,5,21.518311598356142,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.8, 'e': 0.16713393501488363}",20,6,23.659895917731397,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.8, 'e': 0.16546259566473479}",25,11,16.810686549818,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.8, 'e': 0.16380796970808745}",20,1,27.57599925572728,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.8, 'e': 0.16216989001100657}",30,13,26.831030537682047,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.1605481911108965}",25,3,36.16094833283601,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.8, 'e': 0.15894270919978754}",25,18,8.313831511498105,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
